73.9	-13.3	-8.1	51.8	14
71.8	-13.8	-8.1	45.7	9
79.4	-28.6	-8.1	13.6	10
80	-26	-8.1	13.5	14
81.1	-20.4	-8.1	23.0	13
83.8	-25.8	-8.1	13.7	14
84.9	-19.4	-8.1	20.4	15
96.7	-26.8	-8.1	11.3	9
89.7	-22.4	-8.1	17.1	10
81.5	-16.4	-8.1	67.2	10
81.2	-23.4	-8.1	10.7	7
64.8	-17.8	-8.1	6.9	9
62.6	-33.5	-8.1	43.8	7
67	-23.9	-8.1	14.6	9
59	-33.1	-8.1	38.0	13
66.1	-23.7	-8.1	58.3	10
76	-23	-8.1	20.2	12
65.4	-25.6	-8.1	65.9	11
55.6	-26.1	-8.1	69.1	14
55.9	-28.3	-8.1	21.7	10
48.6	-20.1	-8.1	30.1	11
63.2	-19.2	-8.1	10.5	11
63	-34.4	-8.1	23.6	14
52.5	-22.4	-8.1	12.4	7
65.8	-27.6	-8.1	44.8	13
55.6	-24.3	-8.1	37.7	16
69	-25.7	-8.1	29.0	17
68.7	-25.7	-8.1	30.2	5
31.6	-23.2	-8.1	64.7	9
30.7	-23.9	-8.1	28.6	5
26.5	-22.7	-8.1	59.7	6
57.6	-24.4	-8.1	69.7	5
49.6	-27.3	-8.1	34.3	12
61.7	-18.1	-8.1	83.2	7
71.3	-7	-8.1	19.6	16
55.5	-23.4	-8.1	32.4	9
75.5	-24.7	-8.1	13.8	29
65.9	-19.3	-8.1	21.9	13
71.6	-26.5	-8.1	27.5	13
76.8	-27.8	-8.1	32.4	8
61.7	-18	-8.1	77.3	6
61.2	-18.7	-8.1	11.1	9
86.6	-29.3	-8.1	22.1	12
71.6	-25.3	-8.1	16.6	16
63.3	-24.5	-8.1	19.7	12
73.8	-24.2	-8.1	16.3	12
66.4	-26.7	-8.1	29.0	12
67	-29.4	-8.1	98.0	8
60	-26.4	-8.1	74.7	4
71.7	-28.2	-8.1	19.6	6
76.4	-31.5	-8.1	30.4	7
65.3	-28.2	-8.1	43.4	5
73.5	-31.1	-8.1	52.3	6
61.6	-27.5	-8.1	32.4	4
83.9	-30.4	-8.1	12.9	6
62.7	-27.1	-8.1	39.2	5
75.5	-27.1	-8.1	30.4	7
72.9	-31	-8.1	58.0	8
78.7	-29.4	-8.1	42.5	5
80	-27.4	-8.1	43.4	5
31.8	16.5	-8.1	41.2	6
61.3	-5.7	-8.1	21.2	5
70.35	-29.96	-8.1	18.5	7
87.62	-30.11	-8.1	18.7	6
63.91	-18.79	-8.1	39.1	4
93.77	-52.70	-8.1	57.9	4
65.78	-23.83	-8.1	16.7	8
61.21	-20.93	-8.1	11.8	10
66.94	-20.55	-8.1	138.3	7
66.48	-19.58	-8.1	58.8	7
79.16	-32.66	-8.1	11.3	6
52.05	-77.16	-8.1	46.3	6
